repo,stars,repo_size_mb,issue_number,issue_title,issue_url,pr_number,pr_url,merged_at,additions,deletions,changed_files,is_merged
vllm-project/vllm,59764,97.81,25271,Move`VllmConfig` from `config/__init__.py` to `config/vllm.py`,https://github.com/vllm-project/vllm/pull/25271,25271,https://github.com/vllm-project/vllm/pull/25271,2025-09-30T02:49:49Z,964,905,36,2025-09-30T02:49:49Z
vllm-project/vllm,59764,97.81,24903,Improve `--help` for enhanced user experience,https://github.com/vllm-project/vllm/pull/24903,24903,https://github.com/vllm-project/vllm/pull/24903,2025-09-24T23:08:18Z,114,137,8,2025-09-24T23:08:18Z
vllm-project/vllm,59764,97.81,24645,[Model] Support Dots OCR,https://github.com/vllm-project/vllm/pull/24645,24645,https://github.com/vllm-project/vllm/pull/24645,2025-09-22T02:24:40Z,917,0,7,2025-09-22T02:24:40Z
vllm-project/vllm,59764,97.81,25101,[Hybrid Allocator] Support full attention with different hidden size ,https://github.com/vllm-project/vllm/pull/25101,25101,https://github.com/vllm-project/vllm/pull/25101,2025-09-20T06:43:59Z,325,93,6,2025-09-20T06:43:59Z
vllm-project/vllm,59764,97.81,24872,[New Model] Support BertForTokenClassification / Named Entity Recognition (NER) task,https://github.com/vllm-project/vllm/pull/24872,24872,https://github.com/vllm-project/vllm/pull/24872,2025-09-18T15:22:01Z,257,2,11,2025-09-18T15:22:01Z
docling-project/docling,41088,146.69,2433,fix: deal with chartsheets in workbooks,https://github.com/docling-project/docling/pull/2433,2433,https://github.com/docling-project/docling/pull/2433,2025-10-10T13:06:38Z,718,11,14,2025-10-10T13:06:38Z
docling-project/docling,41088,146.69,2394,fix: Proper heading support in rich tables for HTML backend,https://github.com/docling-project/docling/pull/2394,2394,https://github.com/docling-project/docling/pull/2394,2025-10-07T13:57:33Z,267,15,5,2025-10-07T13:57:33Z
docling-project/docling,41088,146.69,2304,fix: support escaped characters in markdown backend,https://github.com/docling-project/docling/pull/2304,2304,https://github.com/docling-project/docling/pull/2304,2025-09-23T16:00:16Z,772,3,7,2025-09-23T16:00:16Z
crewAIInc/crewAI,39034,178.68,3590,feat: add custom embedding types and migrate providers,https://github.com/crewAIInc/crewAI/pull/3590,3590,https://github.com/crewAIInc/crewAI/pull/3590,2025-09-25T22:28:39Z,2736,1277,74,2025-09-25T22:28:39Z
crewAIInc/crewAI,39034,178.68,3585,fix: add batch_size support to prevent embedder token limit errors,https://github.com/crewAIInc/crewAI/pull/3585,3585,https://github.com/crewAIInc/crewAI/pull/3585,2025-09-24T04:05:43Z,558,56,12,2025-09-24T04:05:43Z
numpy/numpy,30545,160.61,29836,"ENH, FEAT: Reorganize finfo and add new constant slot",https://github.com/numpy/numpy/pull/29836,29836,https://github.com/numpy/numpy/pull/29836,2025-10-05T13:26:44Z,573,916,19,2025-10-05T13:26:44Z
nicolargo/glances,30167,45.29,3289,Issue #3279 zfs cache and memory math issues,https://github.com/nicolargo/glances/pull/3289,3289,https://github.com/nicolargo/glances/pull/3289,2025-09-25T18:48:49Z,255,15,9,2025-09-25T18:48:49Z
trailofbits/algo,29954,3.7,14836,Fix Ansible 12 double-templating and Jinja2 spacing issues,https://github.com/trailofbits/algo/pull/14836,14836,https://github.com/trailofbits/algo/pull/14836,2025-09-15T13:54:45Z,311,188,24,2025-09-15T13:54:45Z
trailofbits/algo,29954,3.7,14834,Fix Ansible 12.0.0 boolean type checking breaking deployments,https://github.com/trailofbits/algo/pull/14834,14834,https://github.com/trailofbits/algo/pull/14834,2025-09-11T23:32:09Z,469,13,6,2025-09-11T23:32:09Z
dgtlmoon/changedetection.io,27640,11.39,3465,"Refactor content type detection, fixing more xpath issues for RSS types",https://github.com/dgtlmoon/changedetection.io/pull/3465,3465,https://github.com/dgtlmoon/changedetection.io/pull/3465,2025-10-08T22:14:28Z,255,55,6,2025-10-08T22:14:28Z
dgtlmoon/changedetection.io,27640,11.39,3424,openapi validation,https://github.com/dgtlmoon/changedetection.io/pull/3424,3424,https://github.com/dgtlmoon/changedetection.io/pull/3424,2025-09-15T11:50:29Z,252,29,6,2025-09-15T11:50:29Z
Genesis-Embodied-AI/Genesis,27362,90.76,1772,[FEATURE] Add Raycaster sensor (Lidar and DepthCamera),https://github.com/Genesis-Embodied-AI/Genesis/pull/1772,1772,https://github.com/Genesis-Embodied-AI/Genesis/pull/1772,2025-10-08T05:23:26Z,1810,311,36,2025-10-08T05:23:26Z
Genesis-Embodied-AI/Genesis,27362,90.76,1795,[MISC] Remove 'is_free' that was confusing and partially redundant with 'is_fixed'.,https://github.com/Genesis-Embodied-AI/Genesis/pull/1795,1795,https://github.com/Genesis-Embodied-AI/Genesis/pull/1795,2025-10-02T19:50:10Z,399,320,23,2025-10-02T19:50:10Z
Genesis-Embodied-AI/Genesis,27362,90.76,1724,[MISC] Fix drone example.,https://github.com/Genesis-Embodied-AI/Genesis/pull/1724,1724,https://github.com/Genesis-Embodied-AI/Genesis/pull/1724,2025-09-15T11:33:42Z,115,93,5,2025-09-15T11:33:42Z
Genesis-Embodied-AI/Genesis,27362,90.76,1774,[BUG FIX] Various bug fixes and cleanup.,https://github.com/Genesis-Embodied-AI/Genesis/pull/1774,1774,https://github.com/Genesis-Embodied-AI/Genesis/pull/1774,2025-09-25T15:36:57Z,720,851,17,2025-09-25T15:36:57Z
Genesis-Embodied-AI/Genesis,27362,90.76,1721,[BUG FIX] Cleanup soft body entities and solvers.,https://github.com/Genesis-Embodied-AI/Genesis/pull/1721,1721,https://github.com/Genesis-Embodied-AI/Genesis/pull/1721,2025-09-19T13:19:50Z,1832,1737,23,2025-09-19T13:19:50Z
Genesis-Embodied-AI/Genesis,27362,90.76,1718,[FEATURE] Add saving plot to video file.,https://github.com/Genesis-Embodied-AI/Genesis/pull/1718,1718,https://github.com/Genesis-Embodied-AI/Genesis/pull/1718,2025-09-17T19:37:43Z,665,190,14,2025-09-17T19:37:43Z
Genesis-Embodied-AI/Genesis,27362,90.76,1726,[BUG FIX] Add tests for adding multiple sensors and envs.,https://github.com/Genesis-Embodied-AI/Genesis/pull/1726,1726,https://github.com/Genesis-Embodied-AI/Genesis/pull/1726,2025-09-16T21:23:33Z,258,170,9,2025-09-16T21:23:33Z
ungoogled-software/ungoogled-chromium,24348,16.95,3483,Update to Chromium 141.0.7390.54,https://github.com/ungoogled-software/ungoogled-chromium/pull/3483,3483,https://github.com/ungoogled-software/ungoogled-chromium/pull/3483,2025-10-02T18:17:47Z,1067,768,76,2025-10-02T18:17:47Z
searxng/searxng,22340,98.53,5265,[fix] JSON format: serialization of the result-types,https://github.com/searxng/searxng/pull/5265,5265,https://github.com/searxng/searxng/pull/5265,2025-10-01T05:13:10Z,144,129,9,2025-10-01T05:13:10Z
searxng/searxng,22340,98.53,5239,Improvements to `searx.data.CURRENCIES` initialization,https://github.com/searxng/searxng/pull/5239,5239,https://github.com/searxng/searxng/pull/5239,2025-09-28T05:32:41Z,175,42,7,2025-09-28T05:32:41Z
python/mypy,19878,73.58,19909,[mypyc] Generate __getattr__ wrapper,https://github.com/python/mypy/pull/19909,19909,https://github.com/python/mypy/pull/19909,2025-09-25T16:55:26Z,648,4,11,2025-09-25T16:55:26Z
jlowin/fastmcp,18875,16.62,1927,Add Scalekit Provider for Enterprise Authentication,https://github.com/jlowin/fastmcp/pull/1927,1927,https://github.com/jlowin/fastmcp/pull/1927,2025-09-26T20:58:04Z,674,0,7,2025-09-26T20:58:04Z
jlowin/fastmcp,18875,16.62,1873,Add AWS Cognito OAuth Provider for Enterprise Authentication,https://github.com/jlowin/fastmcp/pull/1873,1873,https://github.com/jlowin/fastmcp/pull/1873,2025-09-25T15:08:45Z,962,7,13,2025-09-25T15:08:45Z
jlowin/fastmcp,18875,16.62,1872,Fix: Remove JSON schema title metadata while preserving parameters named 'title',https://github.com/jlowin/fastmcp/pull/1872,1872,https://github.com/jlowin/fastmcp/pull/1872,2025-09-23T14:19:34Z,153,83,6,2025-09-23T14:19:34Z
jlowin/fastmcp,18875,16.62,1879,Add persistent storage for OAuth client registrations,https://github.com/jlowin/fastmcp/pull/1879,1879,https://github.com/jlowin/fastmcp/pull/1879,2025-09-21T14:56:08Z,704,52,14,2025-09-21T14:56:08Z
jlowin/fastmcp,18875,16.62,1853,feat: Add support for Descope Authentication,https://github.com/jlowin/fastmcp/pull/1853,1853,https://github.com/jlowin/fastmcp/pull/1853,2025-09-19T17:46:44Z,504,6,7,2025-09-19T17:46:44Z
jlowin/fastmcp,18875,16.62,1840,Add log level support for stdio and HTTP transports,https://github.com/jlowin/fastmcp/pull/1840,1840,https://github.com/jlowin/fastmcp/pull/1840,2025-09-19T17:46:31Z,246,53,7,2025-09-19T17:46:31Z
Avaiga/taipy,18771,154.65,2728,"allow patch variable via state.patch(""name"", change_dict, remove_dict)",https://github.com/Avaiga/taipy/pull/2728,2728,https://github.com/Avaiga/taipy/pull/2728,2025-09-25T09:26:18Z,2420,616,13,2025-09-25T09:26:18Z
sgl-project/sglang,18723,36.16,10949,Feature/longbench v2 evaluation utils,https://github.com/sgl-project/sglang/pull/10949,10949,https://github.com/sgl-project/sglang/pull/10949,2025-10-07T06:17:31Z,1471,0,7,2025-10-07T06:17:31Z
sgl-project/sglang,18723,36.16,10988,[model] Add mamba2 and Falcon-H1 support.,https://github.com/sgl-project/sglang/pull/10988,10988,https://github.com/sgl-project/sglang/pull/10988,2025-10-02T11:15:37Z,4533,1,18,2025-10-02T11:15:37Z
sgl-project/sglang,18723,36.16,11071,Support Dots.ocr model,https://github.com/sgl-project/sglang/pull/11071,11071,https://github.com/sgl-project/sglang/pull/11071,2025-09-30T19:18:39Z,244,3,6,2025-09-30T19:18:39Z
